                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.43336,                0.32791,                0.92497,                0.99846,                0.97059,                0.97707,                0.93345,                0.43369,                0.39741,                0.84887,              0.0006536,              0.0006536,              0.0006536
                     37,                0.40008,                0.30882,                0.92343,                0.99903,                0.97059,                0.98118,                0.94716,                0.39146,                0.36592,                 0.8296,               0.000614,               0.000614,               0.000614
                     38,                0.38757,                0.30432,                0.90844,                0.99882,                0.97059,                0.97782,                0.94769,                0.36008,                 0.3457,                0.80066,              0.0005744,              0.0005744,              0.0005744
                     39,                0.39862,                0.30333,                0.90262,                0.99891,                0.97059,                0.97638,                0.94682,                 0.3773,                0.37877,                0.81499,              0.0005348,              0.0005348,              0.0005348
                     40,                0.37994,                0.29094,                0.89611,                0.99909,                0.97059,                0.97946,                0.95721,                0.36972,                0.38635,                0.81682,              0.0004952,              0.0004952,              0.0004952
                     41,                0.37484,                0.29746,                0.89464,                0.99889,                0.97059,                0.97938,                0.95148,                0.41105,                0.36062,                0.81615,              0.0004556,              0.0004556,              0.0004556
                     42,                0.32627,                 0.2766,                0.85463,                      1,                0.96888,                0.97706,                0.95235,                0.39713,                0.37724,                0.80535,               0.000416,               0.000416,               0.000416
                     43,                0.34747,                0.27906,                0.85554,                0.99916,                0.97059,                0.97595,                0.95817,                0.36615,                 0.3943,                0.79871,              0.0003764,              0.0003764,              0.0003764
                     44,                0.37521,                0.31569,                0.88166,                0.99822,                0.97059,                0.97801,                0.95509,                0.38284,                0.39444,                0.80786,              0.0003368,              0.0003368,              0.0003368
                     45,                0.33717,                0.28496,                0.86829,                0.99797,                0.97059,                0.98699,                0.92467,                0.42232,                0.36646,                0.82285,              0.0002972,              0.0002972,              0.0002972
                     46,                0.31116,                0.26259,                0.86551,                0.99887,                0.97059,                0.99087,                 0.9567,                0.35148,                0.32948,                0.80578,              0.0002576,              0.0002576,              0.0002576
                     47,                0.30172,                0.25005,                0.86166,                0.99906,                0.97059,                0.99276,                0.96455,                0.30402,                0.29995,                0.78792,               0.000218,               0.000218,               0.000218
                     48,                0.29708,                0.24831,                0.85113,                      1,                0.98431,                  0.993,                0.97534,                0.25919,                0.28375,                0.78109,              0.0001784,              0.0001784,              0.0001784
                     49,                0.26966,                0.22989,                 0.8411,                0.99919,                0.97059,                0.99224,                0.97815,                  0.285,                0.31973,                0.78852,              0.0001388,              0.0001388,              0.0001388
                     50,                0.27289,                0.24313,                0.82274,                 0.9992,                0.97059,                0.99224,                0.97653,                0.29866,                0.33158,                0.78992,               9.92e-05,               9.92e-05,               9.92e-05
