                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.8883,                 1.4331,                 2.1398,                0.24296,                0.37273,                0.16001,                0.05672,                 2.4148,                 2.2529,                 2.9562,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.8353,                 1.3995,                 2.1388,                0.45176,                0.24545,                0.21161,                0.10118,                  2.256,                 2.2634,                 2.7074,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.8562,                 1.3092,                 2.1002,                0.60549,                0.59091,                0.55153,                0.25012,                 2.1102,                 1.6475,                 2.5841,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.7471,                 1.3031,                 2.0527,                0.30333,                    0.4,                0.21421,                0.07112,                 2.3734,                    2.4,                 2.7698,               0.001307,               0.001307,               0.001307
                     38,                  1.722,                 1.2963,                 2.0023,                0.70959,                0.56364,                0.51611,                0.19769,                 2.2024,                 1.6478,                 2.8022,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.6749,                  1.236,                 1.9691,                0.41332,                0.50909,                0.34089,                0.14576,                 2.0634,                  1.932,                 2.7127,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.6865,                  1.254,                 2.0206,                0.66307,                0.31818,                0.38223,                0.13901,                 2.5006,                 1.9235,                 2.6733,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.5839,                 1.2121,                 1.9277,                0.64557,                    0.6,                0.53461,                0.25871,                  2.021,                 1.5545,                 2.5365,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.5996,                 1.1865,                 1.9004,                0.82353,                0.65455,                0.61634,                 0.2811,                 2.0493,                 1.5445,                 2.4871,               0.001208,               0.001208,               0.001208
                     43,                  1.688,                  1.185,                 1.9195,                0.61321,                0.47273,                0.49008,                 0.2445,                 2.1968,                 1.7616,                 2.6717,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.6248,                 1.2165,                 1.9982,                0.54774,                0.60559,                0.50954,                0.17983,                 2.2485,                  1.657,                 2.5522,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.6136,                 1.1759,                 1.9184,                0.65299,                0.54744,                0.48987,                0.19169,                  2.498,                 1.6505,                 3.1125,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.7079,                 1.1561,                  2.042,                0.60791,                0.58182,                 0.4926,                0.22423,                 2.2299,                 1.4664,                 2.6277,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.6124,                 1.0696,                 1.9856,                0.82374,                0.63636,                0.62498,                0.33636,                 2.0257,                 1.4732,                 2.5611,               0.001109,               0.001109,               0.001109
                     48,                 1.4814,                 1.1043,                 1.8225,                0.69841,                0.61818,                0.62039,                0.23618,                  2.338,                 1.4106,                 2.5441,              0.0010892,              0.0010892,              0.0010892
